"","Metabolite_ID","Metabolite","SuperPathway","SubPathway","HMDB","KEGG","PUBCHEM"
"43","314","behenate (22:0)*","Lipid","Long Chain Saturated Fatty Acid","HMDB0000944","C08281","8215"
"44","330","fumarate","Energy","TCA Cycle","HMDB0000134","C00122","444972"
"45","331","gamma-glutamylglutamate","Peptide","Gamma-glutamyl Amino Acid","HMDB0011737","C05282","92865"
"46","338","gluconate","Xenobiotics","Food Component/Plant","HMDB0000625","C00257","1.06903E+11"
"47","339","glutarate (C5-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000661","C00489","7434418048"
"48","340","glycine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000123","C00037","750"
"49","342","glycocholate","Lipid","Primary Bile Acid Metabolism","HMDB0000138","C01921","10140"
"50","344","guanidinoacetate","Amino Acid","Creatine Metabolism","HMDB0000128","C00581","763"
"51","355","histidine","Amino Acid","Histidine Metabolism","HMDB0000177","C00135","6274"
"52","356","cortisol","Lipid","Corticosteroids","HMDB0000063","C00735","5754"
"53","358","hypotaurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000965","C00519","107812"
"54","361","inosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000195","C00294","6021"
"55","363","myo-inositol","Lipid","Inositol Metabolism","HMDB0000211","C00137","892"
"56","376","isoleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000172","C06418,C00407,C16424","6306"
"57","381","2-aminoadipate","Amino Acid","Lysine Metabolism","HMDB0000510","C00956","92136"
"58","391","citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000904","C00327","9750"
"59","397","leucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000687","C00123","6106"
"60","407","lysine","Amino Acid","Lysine Metabolism","HMDB0003405","C00739,C00047","5962"
"61","409","malate","Energy","TCA Cycle","HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497","525"
"62","415","methionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000696","C00073","6137"
"63","418","methylmalonate (MMA)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","HMDB0000202","C02170","487"
"64","424","palmitate (16:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0000220","C00249","985"
"65","432","nicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0001406","C00153","936"
"66","439","stearate (18:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0000827","C01530","5281"
"67","444","ornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000214","C00077","6262"
"68","445","orotate","Nucleotide","Pyrimidine Metabolism, Orotate containing","HMDB0000226","C00295","967"
"69","452","palmitoleate (16:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0003229","C08362","445638"
"70","460","phenylalanine","Amino Acid","Phenylalanine Metabolism","HMDB0000159","C00079","6140"
"71","461","phosphate","Energy","Oxidative Phosphorylation","HMDB0001429","C00009","1061"
"72","466","phytanate","Xenobiotics","Food Component/Plant","HMDB0000801","C01607","26840"
"73","480","proline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000162,HMDB0003411","C00148,C000763","8.98815E+12"
"74","482","lactate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","HMDB0000190","C00186","612"
"75","491","pyridoxal","Cofactors and Vitamins","Vitamin B6 Metabolism","HMDB0001545","C00250","1050"
"76","498","retinol (vitamin A)","Cofactors and Vitamins","Vitamin A Metabolism","HMDB0000305","C00473","445354"
"77","501","salicylate","Xenobiotics","Drug - Topical Agents","HMDB0001895","C00805","338"
"78","503","serine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000187","C00065","5951"
"79","504","serotonin","Amino Acid","Tryptophan Metabolism","HMDB0000259","C00780","5202"
"80","512","taurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000251","C00245","1123"
"81","519","myristate (14:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0000806","C06424","11005"
"82","533","urea","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000294","C00086","1176"
"83","535","uridine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000296","C00299","6029"
"84","536","2'-deoxyuridine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000012","C00526","13712"
"85","537","trans-urocanate","Amino Acid","Histidine Metabolism","HMDB0000301","C00785","736715"
"86","561","glutamate","Amino Acid","Glutamate Metabolism","HMDB0000148","C00025,C00217","33032"
"87","563","glutamine","Amino Acid","Glutamate Metabolism","HMDB0000641","C00064","5961"
"88","564","threonine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000167","C00188","6288"
"89","565","tryptophan","Amino Acid","Tryptophan Metabolism","HMDB0000929","C00078","6305"
"90","566","valine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000883","C00183","6287"
"91","572","glucose","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","HMDB0000122","C00031","5793"
"92","796","alpha-ketobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000005","C00109","58"
"93","799","betaine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000043","C00719","247"
"94","800","cysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000574","C00097","5862"
"95","803","mannose","Carbohydrate","Fructose, Mannose and Galactose Metabolism","HMDB0000169","C00159,C02209,C00936","8.23084E+21"
"96","806","dimethylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000092","C03626","673"
"97","811","alanine","Amino Acid","Alanine and Aspartate Metabolism","HMDB0000161","C00041","5950"
"98","815","tyrosine","Amino Acid","Tyrosine Metabolism","HMDB0000158","C00082","6057"
"99","818","malonate","Lipid","Fatty Acid Synthesis","HMDB0000691","C00383","867"
"100","821","pseudouridine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000767","C02067","15047"
"101","823","pyruvate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","HMDB0000243","C00022","1060"
"102","825","uracil","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000300","C00106","1174"
"103","848","cotinine","Xenobiotics","Tobacco Metabolite","HMDB0001046",NA,"408"
"104","849","caffeine","Xenobiotics","Xanthine Metabolism","HMDB0001847","C07481","2519"
"105","878","fructose","Carbohydrate","Fructose, Mannose and Galactose Metabolism","HMDB0000660","C00095","2723872"
"106","880","adenine","Nucleotide","Purine Metabolism, Adenine containing","HMDB0000034","C00147","190"
"107","881","cytosine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","HMDB0000630","C00380","597"
"108","888","caprate (10:0)","Lipid","Medium Chain Fatty Acid","HMDB0000511","C01571","2969"
"109","891","margarate (17:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0002259",NA,"10465"
"110","892","nonadecanoate (19:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0000772","C16535","12591"
"111","893","arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0002212","C06425","10467"
"112","917","asparagine","Amino Acid","Alanine and Aspartate Metabolism","HMDB0000168","C00152","6267"
"113","922","N-stearoyl-sphinganine (d18:0/18:0)*","Lipid","Dihydroceramides","HMDB0011761",NA,"5283573"
"114","923","dihydroorotate","Nucleotide","Pyrimidine Metabolism, Orotate containing","HMDB03349","C00337","648"
"115","925","heptanoate (7:0)","Lipid","Medium Chain Fatty Acid","HMDB0000666","C17714","8094"
"116","926","caproate (6:0)","Lipid","Medium Chain Fatty Acid","HMDB0000535","C01585","8892"
"117","932","caprylate (8:0)","Lipid","Medium Chain Fatty Acid","HMDB0000482","C06423","379"
"118","935","sucrose","Carbohydrate","Disaccharides and Oligosaccharides","HMDB0000258","C00089","5988"
"119","980","pentadecanoate (15:0)","Lipid","Long Chain Saturated Fatty Acid","HMDB0000826","C16537","13849"
"120","1001","trans-4-hydroxyproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000725","C01157","5810"
"121","1002","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000462","C02348,C01551,C02350","4.39714E+14"
"122","1004","xanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000292","C00385","1188"
"123","1021","5-oxoproline","Amino Acid","Glutathione Metabolism","HMDB0000267","C02237,C01879","4396857405"
"124","1022","picolinate","Amino Acid","Tryptophan Metabolism","HMDB0002243","C10164","1018"
"125","1023","sarcosine","Amino Acid","Glycine, Serine and Threonine Metabolism","HMDB0000271","C00213","1088"
"126","1024","pantothenate","Cofactors and Vitamins","Pantothenate and CoA Metabolism","HMDB0000210","C00864","6613"
"127","1025","pipecolate","Amino Acid","Lysine Metabolism","HMDB0000070",NA,NA
"128","1026","phosphoethanolamine","Lipid","Phospholipid Metabolism","HMDB0000224","C00346","1015"
"129","1052","glycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","HMDB0000139,HMDB0006372","C00258","439194752"
"130","1053","3-ureidopropionate","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000026","C02642","111"
"131","1082","N-acetylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0011756","C02710","70912"
"132","1083","N-acetylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0011745","C02712","448580"
"133","1084","N-acetylvaline","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0011757",NA,"66789"
"134","1087","erucate (22:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","HMDB0002068","C08316","82165281116"
"135","1090","bilirubin (Z,Z)","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","HMDB0000054","C00486","5280352"
"136","1094","thyroxine","Amino Acid","Tyrosine Metabolism","HMDB0000248","C01829","5819"
"137","1099","guanosine","Nucleotide","Purine Metabolism, Guanine containing","HMDB0000133","C00387","6802"
"138","1102","gamma-glutamyltyrosine","Peptide","Gamma-glutamyl Amino Acid","HMDB0011741",NA,"94340"
"139","1104","methyl indole-3-acetate","Xenobiotics","Food Component/Plant","HMDB0029738",NA,"74706"
"140","1105","alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","HMDB0001893","C02477","86472"
"141","1110","N-acetylalanine","Amino Acid","Alanine and Aspartate Metabolism","HMDB0000766","C02847","88064"
"142","1111","vanillylmandelate (VMA)","Amino Acid","Tyrosine Metabolism","HMDB0000291","C05584","1245"
"143","1114","3-aminoisobutyrate","Nucleotide","Pyrimidine Metabolism, Thymine containing","HMDB0002166","C05145","64956"
"144","1124","citrate","Energy","TCA Cycle","HMDB0000094","C00158","311"
"145","1125","5,6-dihydrouracil","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000076","C00429","649"
"146","1128","2-aminobutyrate","Amino Acid","Glutathione Metabolism","HMDB0000452","C02356","80283"
"147","1134","urate","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000289","C00366","1175"
"148","1135","ursodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB0000946","C07880","31401"
"149","1137","oleoyl ethanolamide","Lipid","Endocannabinoid","HMDB0002088",NA,"5283454"
"150","1140","gamma-glutamylglutamine","Peptide","Gamma-glutamyl Amino Acid","HMDB0011738","C05283","150914"
"151","1141","4-hydroxyphenylpyruvate","Amino Acid","Tyrosine Metabolism","HMDB0000707","C01179","979"
"152","1143","butyrate/isobutyrate (4:0)","Lipid","Short Chain Fatty Acid","HMDB0000039","C00246","264"
"153","1161","tigloylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000959",NA,"6441567"
"154","1162","N-acetylneuraminate","Carbohydrate","Aminosugar Metabolism","HMDB0000230","C00270","439197"
"155","1206","isocitrate","Energy","TCA Cycle","HMDB0001874","C00451","5318532"
"156","1215","N-acetylglucosaminylasparagine","Carbohydrate","Aminosugar Metabolism","HMDB0000489","C04540","123826"
"157","1218","acetoacetate","Lipid","Ketone Bodies","HMDB0000060","C00164","96"
"158","1221","creatine","Amino Acid","Creatine Metabolism","HMDB0000064","C00300","586"
"159","1224","cys-gly, oxidized","Amino Acid","Glutathione Metabolism",NA,NA,"333293"
"160","1231","dihomo-linoleate (20:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0005060","C16525","6439848"
"161","1235","gamma-glutamylhistidine","Peptide","Gamma-glutamyl Amino Acid","HMDB0029151",NA,"7017195"
"162","1239","2-hydroxystearate","Lipid","Fatty Acid, Monohydroxy","HMDB0062549","C03042,C03045","4.39887E+16"
"163","1242","N1-methyladenosine","Nucleotide","Purine Metabolism, Adenine containing","HMDB0003331","C02494","27476"
"164","1254","glycerol","Lipid","Glycerolipid Metabolism","HMDB0000131","C00116","753"
"165","1256","choline","Lipid","Phospholipid Metabolism","HMDB0000097","C00114","305"
"166","1258","anthranilate","Amino Acid","Tryptophan Metabolism","HMDB0001123","C00108","227"
"167","1261","12-HHTrE","Lipid","Eicosanoid","HMDB0012535","C20388","5283141"
"168","1268","gamma-glutamylleucine","Peptide","Gamma-glutamyl Amino Acid","HMDB0011171",NA,"151023"
"169","1342","3-methoxytyrosine","Amino Acid","Tyrosine Metabolism","HMDB0001434",NA,"9307"
"170","1383","4-acetamidophenol","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0001859","C06804","1983"
"171","1442","beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000754",NA,"69362"
"172","1489","palmitoyl ethanolamide","Lipid","Endocannabinoid","HMDB0002100","C16512","4671"
"173","1518","N-palmitoyl-sphingosine (d18:1/16:0)","Lipid","Ceramides","HMDB0004949",NA,"5283564"
"174","1526","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phosphatidylethanolamine (PE)","HMDB0005320",NA,"5283496"
"175","1528","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","Lipid","Phosphatidylinositol (PI)","HMDB0009784",NA,"46891795"
"176","1537","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phosphatidylcholine (PC)","HMDB0007973",NA,"5287971"
"177","1538","stearoyl sphingomyelin (d18:1/18:0)","Lipid","Sphingomyelins","HMDB0001348","C00550","6453725"
"178","1539","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phosphatidylcholine (PC)","HMDB0007972","C13875","6436017"
"179","1547","N-stearoyl-sphingosine (d18:1/18:0)*","Lipid","Ceramides","HMDB0004950",NA,"5283565"
"180","1628","glycochenodeoxycholate","Lipid","Primary Bile Acid Metabolism","HMDB0000637","C05466","12544"
"181","1629","taurochenodeoxycholate","Lipid","Primary Bile Acid Metabolism","HMDB0000951","C05465","387316"
"182","1648","taurocholate","Lipid","Primary Bile Acid Metabolism","HMDB0000036","C05122","6.67547E+11"
"183","1869","2-hydroxyhippurate (salicylurate)","Xenobiotics","Benzoate Metabolism","HMDB0000840","C07588","10253"
"184","2029","azelate (C9-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000784","C08261","2266"
"185","2048","3-(N-acetyl-cystein-S-yl) acetaminophen","Xenobiotics","Drug - Analgesics, Anesthetics",NA,NA,"83967"
"186","2049","4-acetaminophen sulfate","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0059911","C06804","83939"
"187","2050","eicosapentaenoate (EPA; 20:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0001999","C06428","446284"
"188","2051","methylsuccinate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0001844",NA,"10349"
"189","2054","ethylmalonate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000622",NA,"11756"
"190","100000007","carnitine","Lipid","Carnitine Metabolism","HMDB0000062","C00487,C00308","288"
"191","100000008","benzoate","Xenobiotics","Benzoate Metabolism","HMDB0001870","C00180","243"
"192","100000010","3-phenylpropionate (hydrocinnamate)","Xenobiotics","Benzoate Metabolism","HMDB0000764","C05629","107"
"193","100000014","hippurate","Xenobiotics","Benzoate Metabolism","HMDB0000714","C01586","464"
"194","100000015","xanthurenate","Amino Acid","Tryptophan Metabolism","HMDB0000881","C02470","5699"
"195","100000016","suberate (C8-DC)","Lipid","Fatty Acid, Dicarboxylate","HMDB0000893","C08278","10457"
"196","100000036","3-methyl-2-oxovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000491","C03465,C06008,C00671","4.39286E+11"
"197","100000039","methionine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0002005","C02989","158980"
"198","100000042","3-methylhistidine","Amino Acid","Histidine Metabolism","HMDB0000479","C01152","64969"
"199","100000043","4-acetamidophenylglucuronide","Xenobiotics","Drug - Analgesics, Anesthetics","HMDB0010316",NA,"4.02266E+11"
"200","100000054","5-hydroxylysine","Amino Acid","Lysine Metabolism","HMDB0000450","C16741","3032849"
"201","100000096","4-guanidinobutanoate","Amino Acid","Guanidino and Acetamido Metabolism","HMDB0003464","C01035","500"
"202","100000257","glucuronate","Carbohydrate","Aminosugar Metabolism","HMDB0000127","C16245","4.41478E+29"
"203","100000258","glycerol 3-phosphate","Lipid","Glycerolipid Metabolism","HMDB0000126","C0093","754"
"204","100000263","imidazole lactate","Amino Acid","Histidine Metabolism","HMDB0002320","C05568","793"
"205","100000265","kynurenine","Amino Acid","Tryptophan Metabolism","HMDB0000684","C00328","161166"
"206","100000269","glycerophosphorylcholine (GPC)","Lipid","Phospholipid Metabolism","HMDB0000086","C00670","71920"
"207","100000282","N-acetylglutamate","Amino Acid","Glutamate Metabolism","HMDB0001138","C00624","70914"
"208","100000295","tartarate","Xenobiotics","Food Component/Plant","HMDB0000956,HMDB0062642","C00552,C02107,C00898","444305875"
"209","100000299","xanthosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000299","C01762","64959"
"210","100000406","ribitol","Carbohydrate","Pentose Metabolism","HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532","6912"
"211","100000409","2-isopropylmalate","Xenobiotics","Food Component/Plant","HMDB0000402","C02504","77"
"212","100000436","glycodeoxycholate","Lipid","Secondary Bile Acid Metabolism","HMDB00631","C05464","3035026"
"213","100000437","theophylline","Xenobiotics","Xanthine Metabolism","HMDB0001889","C07130","2153"
"214","100000442","quinate","Xenobiotics","Food Component/Plant","HMDB0003072","C00296","6508"
"215","100000445","theobromine","Xenobiotics","Xanthine Metabolism","HMDB0002825","C07480","5429"
"216","100000453","paraxanthine","Xenobiotics","Xanthine Metabolism","HMDB0001860","C13747","4687"
"217","100000463","indolelactate","Amino Acid","Tryptophan Metabolism","HMDB0000671","C02043","92904"
"218","100000467","3-indoxyl sulfate","Amino Acid","Tryptophan Metabolism","HMDB0000682",NA,"10258"
"219","100000487","glycylvaline","Peptide","Dipeptide","HMDB0028854",NA,"2724807"
"220","100000491","gamma-glutamylphenylalanine","Peptide","Gamma-glutamyl Amino Acid","HMDB0000594",NA,"111299"
"221","100000551","4-methyl-2-oxopentanoate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000695","C00233","70"
"222","100000580","1,5-anhydroglucitol (1,5-AG)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","HMDB0002712","C07326","64960"
"223","100000584","2-arachidonoylglycerol (20:4)","Lipid","Monoacylglycerol","HMDB0004666","C13856","5282280"
"224","100000616","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","Lipid","Phosphatidylinositol (PI)","HMDB0009815",NA,NA
"225","100000626","sphingosine 1-phosphate","Lipid","Sphingosines","HMDB0000277","C06124","5283560"
"226","100000656","1-stearoyl-GPI (18:0)","Lipid","Lysophospholipid","HMDB0240261",NA,"7.15811E+15"
"227","100000657","1,2-dipalmitoyl-GPC (16:0/16:0)","Lipid","Phosphatidylcholine (PC)","HMDB0000564","D03585","452110"
"228","100000660","1,2-distearoyl-GPC (18:0/18:0)","Lipid","Phosphatidylcholine (PC)","HMDB0008036",NA,"94190"
"229","100000665","docosahexaenoate (DHA; 22:6n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0002183","C06429","445580"
"230","100000672","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","Lipid","Phosphatidylcholine (PC)","HMDB0007869",NA,"129657"
"231","100000673","ofloxacin","Xenobiotics","Drug - Antibiotic","HMDB0015296","D00453,C07321,DG00616","4583"
"232","100000706","alpha-hydroxyisocaproate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000665,HMDB00746,HMDB0000624","C03264","8.36979E+15"
"233","100000707","maleate","Lipid","Fatty Acid, Dicarboxylate","HMDB0000176","C01384","444266"
"234","100000708","isovalerate (i5:0)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000718","C08262","10430"
"235","100000743","2-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0002264",NA,"9.41807E+18"
"236","100000773","3-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy","HMDB0001954","C20793","26613"
"237","100000774","phenyllactate (PLA)","Amino Acid","Phenylalanine Metabolism","HMDB0000779,HMDB0000563","C05607","3848"
"238","100000776","palmitoylcarnitine (C16)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","HMDB0000222","C02990","461"
"239","100000781","hexanoylcarnitine (C6)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","HMDB0000756",NA,"6426853"
"240","100000787","N-acetylaspartate (NAA)","Amino Acid","Alanine and Aspartate Metabolism","HMDB0000812","C01042","65065"
"241","100000792","dehydroepiandrosterone sulfate (DHEA-S)","Lipid","Androgenic Steroids","HMDB0001032","C04555","12594"
"242","100000802","acetylcarnitine (C2)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)","HMDB0000201","C02571","7045767"
"243","100000808","cysteine s-sulfate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000731","C05824","115015"
"244","100000827","1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol","HMDB0011564",NA,"14900"
"245","100000840","tartronate (hydroxymalonate)","Xenobiotics","Food Component/Plant","HMDB0035227","C02287","45"
"246","100000841","oxalate (ethanedioate)","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","HMDB0002329","C00209","971"
"247","100000846","erythritol","Xenobiotics","Food Component/Plant","HMDB0002994","C00503","222285"
"248","100000856","trizma acetate","Xenobiotics","Chemical",NA,"C07182","16218782"
"249","100000870","saccharin","Xenobiotics","Food Component/Plant","HMDB0029723","C12283","5143"
"250","100000882","3-hydroxymyristate","Lipid","Fatty Acid, Monohydroxy","HMDB0061656",NA,"16064"
"251","100000924","1-oleoylglycerol (18:1)","Lipid","Monoacylglycerol","HMDB0011567",NA,"5283468"
